# FILE  FILTER  TILE  DITHER  SKY_LEVEL  FWHM  EXPTIME
/Volumes/Data2/Magellanic_stream/DECam/20140809/pipeline/images/magellanic_stream_t2_d11_z.fits    z    2    11    8887.6    4.1    300.0
/Volumes/Data2/Magellanic_stream/DECam/20140809/pipeline/images/magellanic_stream_t2_d12_z.fits    z    2    12    8774.2    4.6    300.0
/Volumes/Data2/Magellanic_stream/DECam/20140809/pipeline/images/magellanic_stream_t2_d13_z.fits    z    2    13    8542.7    4.9    300.0
/Volumes/Data2/Magellanic_stream/DECam/20140809/pipeline/images/magellanic_stream_t2_d14_z.fits    z    2    14    8341.9    4.7    300.0
/Volumes/Data2/Magellanic_stream/DECam/20140809/pipeline/images/magellanic_stream_t9_d1_z.fits    z    9    1    8352.6    4.7    300.0
/Volumes/Data2/Magellanic_stream/DECam/20140909/pipeline/images/magellanic_stream_t4_d5_z.fits    z    4    5    9759.3    6.7    400.0
/Volumes/Data2/Magellanic_stream/DECam/20140909/pipeline/images/magellanic_stream_t4_d6_z.fits    z    4    6    9801.6    6.3    400.0
/Volumes/Data2/Magellanic_stream/DECam/20140909/pipeline/images/magellanic_stream_t4_d7_z.fits    z    4    7    9843.6    6.6    400.0
/Volumes/Data2/Magellanic_stream/DECam/20140909/pipeline/images/magellanic_stream_t4_d8_z.fits    z    4    8    9638.2    6.3    400.0
/Volumes/Data2/Magellanic_stream/DECam/20140909/pipeline/images/magellanic_stream_t4_d9_z.fits    z    4    9    9537.9    6.4    400.0
/Volumes/Data2/Magellanic_stream/DECam/20140909/pipeline/images/magellanic_stream_t4_d10_z.fits    z    4    10    9383.1    6.8    400.0
/Volumes/Data2/Magellanic_stream/DECam/20140909/pipeline/images/magellanic_stream_t6_d1_z.fits    z    6    1    9266.7    6.2    400.0
/Volumes/Data2/Magellanic_stream/DECam/20140909/pipeline/images/magellanic_stream_t6_d2_z.fits    z    6    2    9079.8    6.3    400.0
/Volumes/Data2/Magellanic_stream/DECam/20140909/pipeline/images/magellanic_stream_t6_d3_z.fits    z    6    3    8895.1    6.6    400.0
/Volumes/Data2/Magellanic_stream/DECam/20140909/pipeline/images/magellanic_stream_t6_d4_z.fits    z    6    4    8492.1    6.2    400.0
/Volumes/Data2/Magellanic_stream/DECam/20140909/pipeline/images/magellanic_stream_t6_d6_z.fits    z    6    6    8346.7    6.6    400.0
/Volumes/Data2/Magellanic_stream/DECam/20140909/pipeline/images/magellanic_stream_t6_d7_z.fits    z    6    7    8589.3    6.7    400.0
/Volumes/Data2/Magellanic_stream/DECam/20140909/pipeline/images/magellanic_stream_t6_d8_z.fits    z    6    8    8861.8    6.1    400.0
/Volumes/Data2/Magellanic_stream/DECam/20140909/pipeline/images/magellanic_stream_t6_d9_z.fits    z    6    9    8917.0    6.0    400.0
/Volumes/Data2/Magellanic_stream/DECam/20140909/pipeline/images/magellanic_stream_t6_d10_z.fits    z    6    10    9172.2    6.1    400.0
/Volumes/Data2/Magellanic_stream/DECam/20140909/pipeline/images/magellanic_stream_t7_d1_z.fits    z    7    1    9044.8    6.5    400.0
/Volumes/Data2/Magellanic_stream/DECam/20140909/pipeline/images/magellanic_stream_t7_d3_z.fits    z    7    3    8955.2    6.6    400.0
/Volumes/Data2/Magellanic_stream/DECam/20140909/pipeline/images/magellanic_stream_t7_d4_z.fits    z    7    4    8664.0    5.9    400.0
