Index,HIERARCH ESO OBS PROG ID,HIERARCH ESO OBS NAME,HIERARCH ESO INS FILT1 NAME,HIERARCH ESO DET DIT,HIERARCH ESO DET NDIT,HIERARCH ESO TPL ID,HIERARCH ESO TPL NEXP,HIERARCH ESO TPL EXPNO,JITTR_ID,NJITTER,JITTER_I,ESOGRADE,RA,DEC,FWHM,Filename
1221,098.B-0510(A),MS_DV1_V5_OB59,Ks,7.0,4,VIRCAM_img_obs_tile6,18,13,Jitter3u,3,1,C,351.531446,-53.4702,1.00408936,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161012_00058_st.fit
1222,098.B-0510(A),MS_DV1_V5_OB59,Ks,7.0,4,VIRCAM_img_obs_tile6,18,16,Jitter3u,3,1,C,351.37725,-53.47009,1.00280722,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161012_00061_st.fit
1223,098.B-0510(A),MS_DV2_V5_OB59,Ks,7.0,4,VIRCAM_img_obs_tile6,18,1,Jitter3u,3,1,C,358.290867,-52.43722,1.04848316,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161012_00064_st.fit
1224,098.B-0510(A),MS_DV2_V5_OB59,Ks,7.0,4,VIRCAM_img_obs_tile6,18,4,Jitter3u,3,1,C,358.4414,-52.4373,0.99877652,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161012_00067_st.fit
1225,098.B-0510(A),MS_DV2_V5_OB59,Ks,7.0,4,VIRCAM_img_obs_tile6,18,7,Jitter3u,3,1,C,358.591321,-52.43721,1.03485596,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161012_00070_st.fit
1226,098.B-0510(A),MS_DV2_V5_OB59,Ks,7.0,4,VIRCAM_img_obs_tile6,18,10,Jitter3u,3,1,C,358.592283,-52.62019,0.99599362,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161012_00073_st.fit
1227,098.B-0510(A),MS_DV2_V5_OB59,Ks,7.0,4,VIRCAM_img_obs_tile6,18,13,Jitter3u,3,1,C,358.441425,-52.6205,0.91756004,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161012_00076_st.fit
1228,098.B-0510(A),MS_DV2_V5_OB59,Ks,7.0,4,VIRCAM_img_obs_tile6,18,16,Jitter3u,3,1,C,358.29025,-52.6204,0.99858306,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161012_00079_st.fit
1229,098.B-0510(A),MS_DV1_V5_OB60,Ks,7.0,4,VIRCAM_img_obs_tile6,18,1,Jitter3u,3,1,C,351.377896,-53.28692,1.11200706,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161012_00082_st.fit
1230,098.B-0510(A),MS_DV1_V5_OB60,Ks,7.0,4,VIRCAM_img_obs_tile6,18,4,Jitter3u,3,1,C,351.531417,-53.287,1.15127366,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161012_00085_st.fit
1231,098.B-0510(A),MS_DV1_V5_OB60,Ks,7.0,4,VIRCAM_img_obs_tile6,18,7,Jitter3u,3,1,C,351.684292,-53.28691,1.10720864,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161012_00088_st.fit
1232,098.B-0510(A),MS_DV1_V5_OB60,Ks,7.0,4,VIRCAM_img_obs_tile6,18,10,Jitter3u,3,1,C,351.6853,-53.46988,1.15737258,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161012_00091_st.fit
1233,098.B-0510(A),MS_DV1_V5_OB60,Ks,7.0,4,VIRCAM_img_obs_tile6,18,13,Jitter3u,3,1,C,351.531446,-53.4702,1.13197186,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161012_00094_st.fit
1234,098.B-0510(A),MS_DV1_V5_OB60,Ks,7.0,4,VIRCAM_img_obs_tile6,18,16,Jitter3u,3,1,C,351.37725,-53.47009,1.13583154,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161012_00097_st.fit
1235,098.B-0510(A),MS_DV1_V5_OB21,Ks,7.0,4,VIRCAM_img_obs_tile6,18,1,Jitter3u,3,1,,351.377896,-53.28692,0.73067054,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161013_00065_st.fit
1236,098.B-0510(A),MS_DV1_V5_OB21,Ks,7.0,4,VIRCAM_img_obs_tile6,18,4,Jitter3u,3,1,A,351.531417,-53.287,0.7164633,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161013_00068_st.fit
1237,098.B-0510(A),MS_DV1_V5_OB21,Ks,7.0,4,VIRCAM_img_obs_tile6,18,7,Jitter3u,3,1,A,351.684292,-53.28691,0.70731492,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161013_00071_st.fit
1238,098.B-0510(A),MS_DV1_V5_OB21,Ks,7.0,4,VIRCAM_img_obs_tile6,18,10,Jitter3u,3,1,A,351.6853,-53.46988,0.77388726,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161013_00074_st.fit
