#  im_file        filter  tile  dither  sky_level   FWHM
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t7_d3_g.fits    g    7    3    665.2    4.8
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t8_d1_g.fits    g    8    1    655.2    4.9
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t8_d2_g.fits    g    8    2    645.5    5.1
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t8_d3_g.fits    g    8    3    651.5    5.1
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t8_d5_i.fits    i    8    5    6181.9    4.8
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t8_d6_i.fits    i    8    6    6638.1    5.9
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t8_d7_i.fits    i    8    7    6671.0    6.6
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t9_d4_i.fits    i    9    4    21942.7    7.0
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t9_d5_i.fits    i    9    5    -0.8    0.0
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t1_d8_i.fits    i    1    8    4990.5    5.4
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t1_d9_i.fits    i    1    9    4971.5    5.0
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t1_d10_i.fits    i    1    10    5005.3    3.9
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t1_d4_g.fits    g    1    4    599.1    5.9
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t1_d5_g.fits    g    1    5    593.4    5.7
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t1_d6_g.fits    g    1    6    596.7    5.1
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t2_d4_g.fits    g    2    4    604.5    5.7
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t2_d5_g.fits    g    2    5    609.1    5.2
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t2_d6_g.fits    g    2    6    606.9    5.4
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t3_d4_g.fits    g    3    4    606.4    6.0
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t3_d5_g.fits    g    3    5    617.5    6.3
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t3_d6_g.fits    g    3    6    616.0    6.3
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t2_d7_i.fits    i    2    7    4861.9    4.9
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t2_d8_i.fits    i    2    8    4932.6    4.9
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t2_d9_i.fits    i    2    9    4982.0    5.3
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t3_d7_i.fits    i    3    7    4339.5    5.1
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t3_d8_i.fits    i    3    8    4345.7    5.2
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t3_d9_i.fits    i    3    9    4405.7    5.3
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t4_d7_i.fits    i    4    7    4094.2    4.7
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t4_d8_i.fits    i    4    8    4106.0    4.5
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t4_d9_i.fits    i    4    9    3812.0    4.2
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t4_d4_g.fits    g    4    4    635.1    5.0
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t4_d5_g.fits    g    4    5    645.3    4.9
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t4_d6_g.fits    g    4    6    645.2    4.9
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t5_d4_g.fits    g    5    4    635.6    5.5
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t5_d5_g.fits    g    5    5    651.7    5.1
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t5_d6_g.fits    g    5    6    655.7    5.6
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t5_d7_i.fits    i    5    7    4346.1    4.5
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t5_d8_i.fits    i    5    8    4345.3    4.6
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t5_d9_i.fits    i    5    9    4083.2    4.6
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t5_d10_i.fits    i    5    10    4236.8    4.3
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t6_d4_g.fits    g    6    4    667.5    5.1
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t6_d5_g.fits    g    6    5    652.2    5.2
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t6_d6_g.fits    g    6    6    657.1    5.4
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t7_d4_g.fits    g    7    4    711.5    6.2
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t1_d11_i.fits    i    1    11    4125.0    9.3
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t1_d12_i.fits    i    1    12    4022.1    9.0
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t1_d13_i.fits    i    1    13    4464.4    8.5
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t1_d14_i.fits    i    1    14    4082.6    7.6
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t1_d15_i.fits    i    1    15    3588.2    7.1
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t1_d16_i.fits    i    1    16    3549.1    6.6
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t2_d10_i.fits    i    2    10    3346.1    6.2
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t2_d11_i.fits    i    2    11    3290.8    6.3
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t2_d12_i.fits    i    2    12    3384.1    6.8
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t4_d10_i.fits    i    4    10    3855.5    7.9
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t4_d11_i.fits    i    4    11    3846.1    8.0
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t4_d12_i.fits    i    4    12    3906.4    8.4
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t3_d10_i.fits    i    3    10    3526.6    8.1
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t3_d11_i.fits    i    3    11    3415.1    7.1
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t3_d12_i.fits    i    3    12    3593.0    7.0
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t4_d13_i.fits    i    4    13    4118.2    6.7
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t4_d14_i.fits    i    4    14    4176.8    5.9
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t4_d15_i.fits    i    4    15    4337.1    6.8
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t5_d11_i.fits    i    5    11    4337.2    7.1
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t5_d12_i.fits    i    5    12    4384.1    6.2
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t5_d13_i.fits    i    5    13    4235.6    6.1
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t6_d9_i.fits    i    6    9    4130.0    7.2
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t6_d10_i.fits    i    6    10    4492.4    6.6
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t6_d11_i.fits    i    6    11    4947.3    7.2
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t3_d13_i.fits    i    3    13    5849.9    5.7
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t3_d14_i.fits    i    3    14    5706.6    5.6
