#  im_file        filter  tile  dither  weight_file     zp      FWHM    MJD   EXPTIME   NCHIP
c4d_140911_044612_ooi_i_v1.fits.fz    i    4    5    c4d_140911_044612_oow_i_v1.fits.fz    32.60     0.0    56911.194720    300.0    60
c4d_140911_045139_ooi_i_v1.fits.fz    i    4    6    c4d_140911_045139_oow_i_v1.fits.fz    32.53     0.0    56911.198520    300.0    60
c4d_140911_045707_ooi_i_v1.fits.fz    i    4    7    c4d_140911_045707_oow_i_v1.fits.fz    32.62     0.0    56911.202305    300.0    60
c4d_140911_050235_ooi_i_v1.fits.fz    i    4    8    c4d_140911_050235_oow_i_v1.fits.fz    32.35     0.0    56911.206106    300.0    60
c4d_140911_050803_ooi_i_v1.fits.fz    i    4    9    c4d_140911_050803_oow_i_v1.fits.fz    32.56     0.0    56911.209899    300.0    60
c4d_140911_051334_ooi_i_v1.fits.fz    i    4    10    c4d_140911_051334_oow_i_v1.fits.fz    32.60     0.0    56911.213695    300.0    60
c4d_140911_051901_ooi_i_v1.fits.fz    i    4    11    c4d_140911_051901_oow_i_v1.fits.fz    32.37     0.0    56911.217495    300.0    60
c4d_140911_052429_ooi_i_v1.fits.fz    i    4    12    c4d_140911_052429_oow_i_v1.fits.fz    32.35     0.0    56911.221295    300.0    60
c4d_140911_053429_ooi_z_v1.fits.fz    z    4    11    c4d_140911_053429_oow_z_v1.fits.fz    31.29     0.0    56911.227109    400.0    60
c4d_140911_054136_ooi_z_v1.fits.fz    z    4    12    c4d_140911_054136_oow_z_v1.fits.fz    29.74     0.0    56911.232057    400.0    60
c4d_140911_054841_ooi_z_v1.fits.fz    z    4    13    c4d_140911_054841_oow_z_v1.fits.fz     0.00     0.0    56911.236979    400.0    60
c4d_140911_055513_ooi_i_v1.fits.fz    i    5    1    c4d_140911_055513_oow_i_v1.fits.fz    30.84     0.0    56911.242639    300.0    60
c4d_140911_060040_ooi_i_v1.fits.fz    i    5    2    c4d_140911_060040_oow_i_v1.fits.fz    31.17     0.0    56911.246417    300.0    60
c4d_140911_060400_ooi_i_v1.fits.fz    i    5    3    c4d_140911_060400_oow_i_v1.fits.fz    30.58     0.0    56911.250475    150.0    60
c4d_140911_060657_ooi_i_v1.fits.fz    i    5    4    c4d_140911_060657_oow_i_v1.fits.fz    30.46     0.0    56911.252517    150.0    60
c4d_140911_060955_ooi_i_v1.fits.fz    i    5    5    c4d_140911_060955_oow_i_v1.fits.fz    30.35     0.0    56911.254576    150.0    60
c4d_140911_061251_ooi_i_v1.fits.fz    i    5    6    c4d_140911_061251_oow_i_v1.fits.fz    30.44     0.0    56911.256639    150.0    60
c4d_140911_061548_ooi_i_v1.fits.fz    i    5    7    c4d_140911_061548_oow_i_v1.fits.fz    30.71     0.0    56911.258688    150.0    60
c4d_140911_061851_ooi_i_v1.fits.fz    i    5    8    c4d_140911_061851_oow_i_v1.fits.fz    30.69     0.0    56911.260750    150.0    60
c4d_140911_062145_ooi_i_v1.fits.fz    i    5    9    c4d_140911_062145_oow_i_v1.fits.fz    30.59     0.0    56911.262809    150.0    60
c4d_140911_062445_ooi_i_v1.fits.fz    i    5    10    c4d_140911_062445_oow_i_v1.fits.fz    30.63     0.0    56911.264874    150.0    60
c4d_140911_062801_ooi_i_v1.fits.fz    i    5    11    c4d_140911_062801_oow_i_v1.fits.fz    30.50     0.0    56911.267132    150.0    60
c4d_140911_063100_ooi_i_v1.fits.fz    i    5    12    c4d_140911_063100_oow_i_v1.fits.fz    30.48     0.0    56911.269189    150.0    60
